Name,Content_Warning,Related_Mange,staff
Koikimo,,Koi to Yobu ni wa Kimochi Warui,"Mogusu : Original Creator, Naomi Nakayama : Director, Hiroaki Tsutsumi : Music, Mariko Fujita : Character Design, Masakazu Miyake : Art Director"
Gokinjo Monogatari,,"Gokinjo Monogatari, Paradise Kiss","Ai Yazawa : Original Creator, Atsutoshi Umezawa : Director, Masahiro Kawasaki : Music, Yoshihiko Umakoshi : Character Design, Kanako Arai : Producer, Mamoru Hosoda : Key Animator"
Eve & suis: Heikousen,,,"Nobutaka Yoda : Director, Kiyotaka Oshiyama : Character Design, Yuji Kaneko : Art Director, Wakana Okamura : Producer, Ai Kashima : Producer, Ken Yamamoto : Key Animator, Eve : Song Composition & Song Lyrics & Song Performance, Suis : Song Performance"
Qin Shi Mingyue: Tian Xing Jiu Ge,,,
Bokurano,"Mature Themes,, Sexual Content","Bokurano: Ours, Bokurano Alternative (Light Novel)","Mohiro Kitoh : Original Creator, Kazuyoshi Yaginuma : Chief Director, Hiroyuki Morita : Director, Erkin Kawabata : Assistant Director, Yuuji Nomi : Music, Kenichi Konishi : Character Design, Shigemi Ikeda : Art Director, Takae Iijima : Color Design"
One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy,,"Romance Dawn, One Piece, One Piece: Taose! Kaizoku Ganzack (Light Novel), One Piece: Loguetown-hen (Light Novel), One Piece: Strong World, Chopperman, Chopperman: Yuke Yuke! Minna no Chopper-sensei, One Piece x Toriko: Jisshoku! Akuma no Mi!!, One Piece Party, One Piece Ace's Story (Light Novel), One Piece episode A",Eiichiro Oda : Original Creator
Nobunaga Concerto,,Nobunaga Concerto,"Ayumi Ishii : Original Creator, Yuusuke Fujikawa : Director, Masaru Yokoyama : Music, Noriko Ozaki : Producer, My First Story : Song Performance"
Michiru Rescue!,,,Koujin Ochi : Director
Date a Live,,"Date a Live (Light Novel), Date a Live: Encore (Light Novel), Date a Origami, Date a Live, Date A Strike, Date a Live: Tohka Dead End, Date a Party, Date a Live Fragments: Date a Bullet (Light Novel)","Keitarou Motonaga : Director, Gou Sakabe : Music, Satoshi Ishino : Character Design, Chiaki Kurakane : Producer, Satoshi Motonaga : Producer, Sawako Yamamoto : Key Animator"
Kiratto Pri-chan 3rd Season,,,
Yingxiong Zailin,,Hero? I Quit A Long Time Ago.,
Heartcatch Pretty Cure!,,"Futari wa Precure, Futari wa Pretty Cure: Splash Star, Eiga: Futari wa Pretty Cure Splash Star - Chikutaku Kiki Ippatsu!, Heartcatch Pretty Cure!, Heartcatch Pretty Cure! (Light Novel), Kirakira Precure à la Mode","Tatsuya Nagamine : Director, Yasuharu Takanashi : Music, Yoshihiko Umakoshi : Character Design, Atsutoshi Umezawa : Producer, Rika Tsuruzaki : Producer, Reiko Sasaki : Producer, Toshiaki Komura : Episode Director & Storyboard, Shouko Nakamura : Key Animator"
Summer Days with Coo,"Animal Abuse,, Mature Themes",,"Keiichi Hara : Director, Kei Wakakusa : Music, Yuuichirou Sueyoshi : Character Design, Hitoshi Mogi : Producer"
Miss Kobayashi's Dragon Maid Specials,,"Miss Kobayashi's Dragon Maid, Miss Kobayashi's Dragon Maid: Elma's Office Lady Diary, Miss Kobayashi's Dragon Maid: Lucoa wa Boku no xx Desu.",Coolkyousinjya : Original Creator
Pygmalio,,Pygmalio,"Naoto Hashimoto : Director, Yoshio Kuroda : Director, Gorou Oumi : Music, Michiyo Sakurai : Character Design, Susumu Shiraume : Character Design, Junzou Nakajima : Producer"
Wolf Girl and Black Prince,,"Ookami Shoujo to Kuro Ouji, Nijikuro Gakuen no Nijichou","Ayuko Hatta : Original Creator, Kenichi Kasai : Director, Gou Sakabe : Music, Maki Fujioka : Character Design, Hisaharu Iijima : Art Director, Shuuichi Kitada : Producer, Shunsuke Nara : Producer, Hiroyuki Kiyouno : Producer"
Kantai Collection: Kan Colle Movie,,"Kantai Collection: Kan Colle - 4-koma Comic - Fubuki, Ganbarimasu!, Kantai Collection: Kan Colle - Itsuka Shizuka na Umi de, Kantai Collection: Kan Colle - Shimakaze Tsumujikaze no Shoujo, Kantai Collection: Kan Colle - Dengeki Comic Anthology - Sasebo Chinjufu-hen, Kantai Collection: Kan Colle - Comic a la Carte - Maizuru Chinjufu Hen, Kantai Collection: Kan Colle - Anthology Comic Yokosuka Guardian Office Edition, Kantai Collection: Kan Colle - Suirai Sentai Chronicle, Kantai Collection: Kan Colle - Tomarigi no Chinjufu, Kantai Collection: Kan Colle - Kakuyoku no Kizuna (Light Novel), Kantai Collection: Kan Colle - Oyakutachi! Chinjufu Chousatai, Kantai Collection: Kan Colle - Suihensen no, Fumizuki, Kantai Collection: Kan Colle - Koyoi mo Salute!","Keizou Kusakawa : Director, Naomi Ide : Character Design, Mayuko Matsumoto : Character Design, Makoto Kohara : Character Design & Chief Animation Director & Storyboard, Eiji Inomoto : Cg Director, Satoshi Motonaga : Producer, Daijou Kudou : Producer"
Aria the Natural Special,,"Aqua, Aria, Aria (Light Novel)","Kozue Amano : Original Creator, Junichi Satou : Director, Takeshi Senoo : Music, Choro Club : Music, Makoto Koga : Character Design"
Hanhua Riji,,,
"The Haunted House Movie 2: Sky Goblin, The Great Jormungandr",,,
Bear Bear Bear Kuma!,,"Kuma Kuma Kuma Bear (Light Novel), Kuma Kuma Kuma Bear","Shigeo Komori : Music, Yuki Nakano : Character Design"
Joleobban,,,
Shen Ming Zhi Zhou,,,
Please Teacher: Secret Couple,,"Onegai Teacher, Onegai Teacher (Light Novel), Onegai Twins","Yasunori Ide : Director, Shinji Orito : Music, Hiroaki Gohda : Character Design"
Shakugan no Shana Movie,,"Shakugan no Shana (Light Novel), Shakugan no Shana, Shakugan no Shana Zero (Light Novel), Shakugan no Shana X Eternal Song - Harukanaru Uta","Takashi Watanabe : Director, Kow Otani : Music, Mai Ootsuka : Character Design, Kouhei Kawase : Producer, Takaya Ibira : Producer, Nobuhiro Nakayama : Producer, Shigeru Nishiyama : Editor"
www.Working!!,,"Working!! Neko-gumi, Working!!, Working!! - Re:Order","Karino Takatsu : Original Creator, Yumi Kamakura : Director, Masaru Yokoyama : Music, Mayuko Nakano : Character Design, Akihito Watanabe : Producer, Narumi Odagiri : Producer"
Monsuno 3rd Season,,,"Yoshiaki Okumura : Director, Yuuichirou Hayashi : Character Design"
Kuroko's Basketball: Last Game - NG-shuu,,,
Ben-To,,"Ben-To (Light Novel), Ben-To","Shin Itagaki : Director & Ed Director & Episode Director & Key Animator & Screenplay & Series Composition & Storyboard, Taku Iwasaki : Music, Katsuzou Hirata : Character Design, Kazuhiro Yamada : Photography Director, Yoshimi Umino : Art Director, Takashi Takano : Producer, Kouji Kajita : Producer, Kazuhiro Kanemitsu : Producer"
Rosario + Vampire Capu2,Nudity,"Rosario + Vampire: Prototype, Rosario + Vampire, Rosario + Vampire Season II, Rosario + Vampire (Light Novel)","Akihisa Ikeda : Original Creator, Takayuki Inagaki : Director, Kouhei Tanaka : Music, Shirou Hamaguchi : Music, Mariko Fujita : Character Design, Shigemi Ikeda : Art Director, Shinichi Ikeda : Producer, Taichi Hashimoto : Producer"
Lupin III: Fujiko's Lie,"Nudity,, Violence","Lupin III, Lupin Kozou, Lupin III (2015)","Takeshi Koike : Director & Animation Director & Character Design & Episode Director & Storyboard, James Shimoji : Music, Jirou Tazawa : Photography Director, Takahiro Mogi : Color Design, Youji Shimizu : Sound Director, Yuya Takahashi : Screenplay"
Welcome to THE SPACE SHOW,,,"Kouji Masunari : Director, Yoshihiro Ike : Music, Masashi Ishihama : Character Design, Tomonori Ochikoshi : Producer, Norio Matsumoto : Key Animator, Hiroshi Takiguchi : Background Artist"
Saint Young Men OVA,,Saint Young Men,"Hikaru Nakamura : Original Creator, Noriko Takao : Director, Keiichi Suzuki : Music, Ryoumei Shirai : Music, Naoyuki Asano : Character Design, Yuuya Sakuma : Photography Director, Reo Kurosu : Producer, Hideharu Gomi : Producer"
Doraemon Movie 34: New Nobita's Great Demon - Peko and the Exploration Party of Five,,"Doraemon, Daichohen Doraemon, The Doraemons: Doraemon Game Comic, Dorabase: Doraemon Chouyakyuu Gaiden, Doraemon Plus","Fujiko F. Fujio : Original Creator, Shinnosuke Yakuwa : Director, Kan Sawada : Music, Koichi Maruyama : Character Design, Rika Tsuruzaki : Producer"
Brave Story,,"Brave Story (Novel), Brave Story","Kouichi Chigira : Director, Juno Reactor : Music, Hiroyuki Kanbe : Character Design, Katsuichi Nakayama : Character Design, Hitoshi Ueda : Character Design, Yuriko Chiba : Character Design, Yukiko Maruyama : Art Director, Kouji Kajita : Producer"
The [email protected] Movie: Kagayaki no Mukougawa e!,,"THE [email protected] Comic Anthology, THE [email protected] Anthology Comic, The [email protected]: Your [email protected], The [email protected], The [email protected] Relations, Puchimas! Petit [email protected], The [email protected] Break!, The [email protected] Dearly Stars: Neue Green, The [email protected] Dearly Stars: Splash Red, The [email protected] Dearly Stars: Innocent Blue, The [email protected] 2: Nemurihime, The [email protected] 2: Colorful Days, The [email protected] 2: The World Is All One!!, [email protected] of Jupiter - The [email protected], The [email protected] (Mana), The [email protected]: Cinderella Girls - Ensemble!, The [email protected] Cinderella Girls Shuffle!!, Jupiter: THE [email protected], The [email protected]: Million Live! Back Stage, The [email protected]: Million Live!, The [email protected]: Million Live! Comic Anthology, The [email protected] SideM: Dramatic Stage, The [email protected] Million Live!: Blooming Clover","Atsushi Nishigori : Director & Character Design, Ryuuichi Takada : Music, Kazuko Nakashima : Color Design, Yasuhiro Yamaguchi : Producer, Yousuke Toba : Producer, Ryota Furukawa : Key Animator"
I Can’t Understand What My Husband Is Saying: 2nd Thread,,"Danna ga Nani o Itteiru ka Wakaranai Ken, Sabinuki Kanojo","Coolkyousinjya : Original Creator, Shinpei Nagai : Director, G-Angle : Music, Ryuuichi Baba : Character Design"
Kiddy Grade: Truth Dawn,,"Kiddy Grade: Reverse, Kiddy Grade Vs, Kiddy Girl-And Pure","Keiji Gotou : Director, Megumi Kadonosono : Character Design, Atsushi Itou : Producer, Naoki Hiramatsu : Producer, Kengo Shigemura : Editor, Shingo Suzuki : Key Animator, Takaaki Fukuyo : Key Animator, Kensuke Ishikawa : Key Animator"
"Now and Then, Here and There","Animal Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Violence",,"Akitarou Daichi : Director, Taku Iwasaki : Music, Atsushi Ohizumi : Character Design, Kazuaki Morijiri : Producer, Shouchi Kumabe : Producer, Kunitoshi Okajima : Episode Director, Kenji Yasuda : Episode Director, Yoshiaki Itou : Key Animator"
Sailor Moon Memorial,,"Codename: Sailor V, Sailor Moon, Pretty Guardian Sailor Moon: Short Stories",Naoko Takeuchi : Original Creator
Yaoguai Mingdan 2nd Season,,Yaoguai Mingdan,"Ren Jia Tang : Original Creator, Yi Dong : Director & Character Design, Myc Music : Music, Cedar Meat Rice Bowl : Producer, Silent Octopus : Producer"
Fuse: Memoirs of a Huntress,Violence,Fuse: Shoujo to Kemono no Rekkatan,"Masayuki Miyaji : Director, Michiru Ooshima : Music, Seiichi Hashimoto : Character Design, Yousuke Tsuruki : Producer, Kazuaki Takahashi : Producer, Masayuki Otsuka : Producer"
Tsurune: Dangerous Shoot,,Tsurune: Kazemai Koukou Kyuudou-bu (Light Novel),
Sword Art Online Alternative: Gun Gale Online,Explicit Violence,"Sword Art Online (Light Novel), Sword Art Online: Aincrad, Sword Art Online 4-koma, Sword Art Online SS: Calibur SS-han (Light Novel), Sword Art Online: Fairy Dance, Sword Art Online Side Stories (Light Novel), Sword Art Online: Progressive (Light Novel), Sword Art Online Comic Anthology, Sword Art Online: Girls' Ops, Sword Art Online: Progressive, Sword Art Online Alternative: Gun Gale Online (Light Novel), Sword Art Online: Mother's Rosary, Sword Art Online: Phantom Bullet, Sword Art Online: Calibur, Sword Art Online Alternative: Gun Gale Online, Sword Art Online: Aincrad Night of Kirito, Sword Art Online Alternative: Clover's Regret (Light Novel), Sword Art Online: Project Alicization, Sword Art Online: Hollow Realization, Sword Art Online Iden: Kibaou-han!, Sword Art Online: Hopeful Chant (Light Novel), Sword Art Online: Ordinal Scale, Sword Art Online: Kirito no Gun Gale Wars, Sword Art Online: Progressive - Barcarolle of Froth","Masayuki Sakoi : Director, Starving Trancer : Music, Yoshio Kozakai : Character Design, Yousuke Futami : Producer, Kenta Suzuki : Producer, Ryuutarou Kawakami : Producer, Kaoru Adachi : Producer, Yuusuke Yoshioka : Producer"
Chikyuu Monogatari Telepath 2500,,,"Kan Ogasawara : Music, Yoshitaka Amano : Character Design, Akira Inoue : Producer"
Fist of the North Star: Legend of Raoh - Death for Love,"Explicit Violence,, Mature Themes,, Physical Abuse","Fist of the North Star, Fist of the Blue Sky, Fist of the North Star Gaiden: Kinyoku no Garuda - Nanto Goshasei Zenshi, Fist of the Blue Sky: Regenesis","Buronson : Original Creator, Takahiro Imamura : Director, Yuki Kajiura : Music, Hisashi Kagawa : Character Design, Chiharu Satou : Character Design, Shingo Araki : Character Design, Takako Shimizu : Character Design, Naoki Miya : Producer"
Xing Hai Qishi: Part II,,,Wang Jian : Director
Is the Order a Rabbit?? ~Sing For You~,,"Is the Order a Rabbit?, Is the Order a Rabbit? Anthology Comic","Hiroyuki Hashimoto : Director, Yousuke Okuda : Character Design"
"""Bungaku Shoujo"" Movie",,"Book Girl (Light Novel), Bungaku Shoujo to Shi ni Tagari no Douke, Bungaku Shoujo: Minarai (Light Novel), Bungaku Shoujo to Uekawaku Yuurei","Shunsuke Tada : Director, Masumi Itou : Music, Keita Matsumoto : Character Design, Katsumi Koike : Producer, Yuuichirou Takahata : Producer, Kenta Suzuki : Producer, Masahito Arinaga : Producer, Itsurou Kawasaki : Episode Director & Storyboard"
Mobile Suit Gundam: Thunderbolt - Bandit Flower,Violence,"Mobile Suit Gundam Thunderbolt, Mobile Suit Gundam Thunderbolt Side Story",Eriko Kimura : Sound Director
Humanity Has Declined,,"Jinrui wa Suitai Shimashita (Light Novel), Jinrui wa Suitai Shimashita: Nonbirishita Houkoku, Jinrui wa Suitai Shimashita: Yousei, Shimasu ka?, Jinrui wa Suitai Shimashita: Heijou Unten (Light Novel)","Romeo Tanaka : Original Creator, Sunaho Tobe : Original Character Design, Kouji Itou : Director & Assistant Animation Director, Seiji Kishi : Director & Storyboard, Harume Kosaka : Assistant Director & Episode Director & Op Director & Storyboard, Makoto Uezu : Screenplay & Series Composition, Kow Otani : Music, Kyuuta Sakai : Animation Director & Character Design & Chief Animation Director"
Ghost in the Shell: Stand Alone Complex - Individual Eleven - Tachikoma Days,,"Ghost in the Shell, Ghost in the Shell 1.5: Human-Error Processor, Ghost in the Shell 2: Man-Machine Interface, Ghost in the Shell: Stand Alone Complex (Light Novel), Ghost in the Shell: Stand Alone Complex, Ghost in the Shell Arise: Sleepless Eye, Ghost in the Shell: Stand Alone Complex - The Laughing Man",
Nogizaka Haruka no Himitsu,,"Nogizaka Haruka no Himitsu (Light Novel), Nogizaka Haruka no Himitsu, Nogizaka Asuka no Himitsu (Light Novel)","Yusaku Igarashi : Original Creator, Munenori Nawa : Director, Tsuyoshi Tamai : Series Composition, Takeshi Watanabe : Music, Satoshi Ishino : Character Design, Reiji Kasuga : Art Director, Yoshikazu Iwanami : Sound Director, Yoshinobu Tokumoto : Episode Director"
Eve: Yoru wa Honoka,,,"Zemyata : Director, Eve : Song Composition & Song Lyrics & Song Performance, Numa : Song Arrangement"
The Duke of Death and His Maid,,The Duke of Death and His Maid,"Koharu Inoue : Original Creator, Yoshiki Yamakawa : Director, Hideki Shirane : Series Composition, Takeshi Watanabe : Music, Gen Okuda : Music, Mitsuru Kuwabata : Character Design, Yuusuke Suzuki : Cg Director, Hidetaka Kondou : Producer"
Kamigami no Asobi,,Kamigami no Asobi,"Broccoli : Original Creator, Yone Kazuki : Original Character Design, Tomoyuki Kawamura : Director & Episode Director & Storyboard, Tomoko Konparu : Screenplay & Series Composition, Elements Garden : Music, Evan Call : Music, Junpei Fujita : Music & Song Arrangement, Hitoshi Fujima : Music & Song Arrangement & Song Composition"
How Heavy Are the Dumbbells You Lift?,,How Heavy are the Dumbbells You Lift?,"Yabako Sandrovich : Original Creator, Mitsue Yamazaki : Director, Yukari Hashimoto : Music, Ai Kikuchi : Character Design, Mitsuhiro Ogata : Producer, Aya Iizuka : Producer, Kazufumi Kikushima : Producer, Reiko Sasaki : Producer"
Aishen Qiaokeli-ing... II,,Cupid's Chocolate-ing,"Viviantianzong : Original Creator, Long Cheng : Chief Director, Xiong Ke : Director, Zhuo Ma : Music, Lin Shen : Character Design, Yu Zhang : Producer, Jun Yan : Producer"
Student Council's Discretion Lv. 2,,"Student Council's Discretion (Light Novel), Student Council's Discretion, Seitokai no Nichijou, Boku wa Tomodachi ga Sukunai x Seitokai no Ichizon Crossover Special, Shin Seitokai no Ichizon","Sekina Aoi : Original Creator, Kenichi Imaizumi : Director, Takaaki Anzai : Music, Masahito Onoda : Character Design, Naoshi Imamoto : Producer, Yuuji Yanase : Episode Director, Masahiko Yoda : Chief Animation Director"
Mushoku Tensei: Jobless Reincarnation PV,Violence,"Mushoku Tensei: Jobless Reincarnation (Light Novel), Mushoku Tensei: Jobless Reincarnation - Depressed Magician","Shingo Fujii : Director & Episode Director & Key Animator & Storyboard, Hiroaki Tsutsumi : Music, Shinji Tonsho : Photography Director, Hiroshi Gouroku : Art Director, Makiko Doi : Color Design, Akinori Mishima : Editor, Ryou Imamura : Animation Director & Key Animator, Keisuke Kobayashi : Key Animator"
Tokyo Majin: 2nd Act,,,"Shinji Ishihira : Director, Takayuki Negishi : Music, Jun Nakai : Character Design, Masayoshi Matsumoto : Producer, Futoshi Nakabayashi : Producer, Fumiki Yamazaki : Producer, Shigenori Kageyama : Storyboard"
Tenchi Muyo! Ryo-Ohki 4,,"No Need for Tenchi!, True Tenchi Muyo! (Light Novel), The All-New Tenchi Muyo!, Tenchi Muyo! Sasami Stories, Tenchi Muyo! GXP (Light Novel), Tenchi Muyo! War on Geminar","Masaki Kajishima : Chief Director, Hidetoshi Takahashi : Director, Ryou Sakai : Music, Takeshi Oda : Character Design, Masayoshi Matsumoto : Producer, Yasuyuki Nishiya : Producer, Tsuyoshi Hosono : Producer, Zhang Yong : Producer"
Jin-Roh: The Wolf Brigade,"Mature Themes,, Violence",Hellhounds: Panzer Cops,"Mamoru Oshii : Original Creator, Hiroyuki Okiura : Director, Hajime Mizoguchi : Music, Tetsuya Nishio : Character Design, Hidekazu Terakawa : Producer, Minoru Takanashi : Producer, Atsushi Sugita : Producer, Shuuichi Kakesu : Editor"
